dataset,neuron,mean,cov,mean_std,cov_std,mean_0,cov_0,jitter_0,loc_0,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,625,[nan nan],"[[ 0.   -0.02]
 [ 0.02 -0.01]]",[nan nan],"[[0.01 0.04]
 [0.04 0.02]]",[nan nan],"[[ 0.01 -0.09]
 [ 0.1  -0.05]]",[-0.04  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0631
Dataset 05,626,[nan nan],"[[0.02 0.01]
 [0.01 0.02]]",[nan nan],"[[0.03 0.01]
 [0.01 0.05]]",[nan nan],"[[0.08 0.04]
 [0.03 0.12]]",[ 0.03 -0.  ],[nan nan],[ 0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0632
Dataset 05,627,[nan nan],"[[ 0.    0.02]
 [ 0.02 -0.  ]]",[nan nan],"[[0.01 0.05]
 [0.04 0.  ]]",[nan nan],"[[ 0.01  0.11]
 [ 0.1  -0.01]]",[0.02 0.03],[nan nan],[0.   0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0633
Dataset 05,628,[nan nan],"[[ 0.01 -0.01]
 [ 0.02  0.01]]",[nan nan],"[[0.02 0.01]
 [0.04 0.01]]",[nan nan],"[[ 0.06 -0.03]
 [ 0.09  0.04]]",[0.01 0.01],[nan nan],[0. 0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0634
Dataset 05,629,[nan nan],"[[-0.01  0.01]
 [ 0.   -0.03]]",[nan nan],"[[0.02 0.02]
 [0.   0.05]]",[nan nan],"[[-0.05  0.05]
 [ 0.   -0.13]]",[-0.03  0.  ],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0635
Dataset 05,630,[nan nan],"[[ 0.02 -0.02]
 [-0.01 -0.  ]]",[nan nan],"[[0.04 0.03]
 [0.02 0.01]]",[nan nan],"[[ 0.09 -0.08]
 [-0.06 -0.02]]",[0.04 0.03],[nan nan],[0.01 0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0636
Dataset 05,631,[nan nan],"[[ 0.   -0.01]
 [ 0.02 -0.02]]",[nan nan],"[[0.   0.03]
 [0.04 0.03]]",[nan nan],"[[ 0.01 -0.07]
 [ 0.1  -0.09]]",[-0.02 -0.03],[nan nan],[-0.   -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0637
Dataset 05,632,[nan nan],"[[ 0.01 -0.  ]
 [ 0.01  0.01]]",[nan nan],"[[0.03 0.  ]
 [0.01 0.03]]",[nan nan],"[[ 0.06 -0.  ]
 [ 0.04  0.07]]",[-0.04 -0.01],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0638
Dataset 05,633,[nan nan],"[[-0.03  0.01]
 [-0.02  0.  ]]",[nan nan],"[[0.05 0.03]
 [0.03 0.01]]",[nan nan],"[[-0.13  0.07]
 [-0.09  0.02]]",[-0.    0.02],[nan nan],[-0.  0.],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0639
Dataset 05,634,[nan nan],"[[-0.01 -0.01]
 [-0.   -0.  ]]",[nan nan],"[[0.02 0.02]
 [0.01 0.  ]]",[nan nan],"[[-0.05 -0.06]
 [-0.02 -0.01]]",[0.04 0.  ],[nan nan],[0.01 0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0640
Dataset 05,635,[nan nan],"[[ 0.02  0.02]
 [-0.01 -0.03]]",[nan nan],"[[0.04 0.04]
 [0.03 0.05]]",[nan nan],"[[ 0.1   0.1 ]
 [-0.06 -0.13]]",[ 0.02 -0.04],[nan nan],[ 0.   -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0642
Dataset 05,636,[nan nan],"[[ 0.   -0.03]
 [ 0.02 -0.01]]",[nan nan],"[[0.   0.05]
 [0.05 0.02]]",[nan nan],"[[ 0.01 -0.13]
 [ 0.12 -0.06]]",[-0.01 -0.  ],[nan nan],[-0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0643
Dataset 05,637,[nan nan],"[[-0.01  0.02]
 [ 0.02 -0.01]]",[nan nan],"[[0.02 0.03]
 [0.04 0.02]]",[nan nan],"[[-0.05  0.09]
 [ 0.1  -0.05]]",[0.04 0.02],[nan nan],[0.01 0.  ],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0644
Dataset 05,638,[nan nan],"[[-0.01  0.01]
 [-0.01 -0.01]]",[nan nan],"[[0.02 0.02]
 [0.02 0.01]]",[nan nan],"[[-0.06  0.06]
 [-0.04 -0.04]]",[-0.04 -0.02],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0645
Dataset 05,639,[nan nan],"[[-0.02 -0.  ]
 [ 0.03 -0.03]]",[nan nan],"[[0.05 0.01]
 [0.05 0.05]]",[nan nan],"[[-0.12 -0.02]
 [ 0.13 -0.13]]",[ 0.01 -0.04],[nan nan],[ 0.   -0.01],[nan nan],[0.   0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0647
Dataset 05,640,[nan nan],"[[-0.   -0.01]
 [ 0.02  0.01]]",[nan nan],"[[0.01 0.03]
 [0.05 0.02]]",[nan nan],"[[-0.02 -0.07]
 [ 0.12  0.06]]",[-0.01 -0.  ],[nan nan],[-0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0648
Dataset 05,641,[nan nan],"[[ 0.01 -0.01]
 [ 0.02 -0.02]]",[nan nan],"[[0.01 0.02]
 [0.04 0.04]]",[nan nan],"[[ 0.04 -0.04]
 [ 0.09 -0.09]]",[0.02 0.05],[nan nan],[0.   0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0649
Dataset 05,642,[nan nan],"[[ 0.01  0.03]
 [-0.02  0.  ]]",[nan nan],"[[0.02 0.05]
 [0.04 0.01]]",[nan nan],"[[ 0.06  0.14]
 [-0.11  0.02]]",[0.03 0.05],[nan nan],[0.01 0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0650
Dataset 05,643,[nan nan],"[[-0.   -0.01]
 [ 0.03  0.01]]",[nan nan],"[[0.   0.02]
 [0.06 0.01]]",[nan nan],"[[-0.01 -0.04]
 [ 0.14  0.03]]",[ 0.02 -0.01],[nan nan],[ 0. -0.],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0651
Dataset 05,644,[nan nan],"[[ 0.01 -0.01]
 [-0.03 -0.01]]",[nan nan],"[[0.03 0.02]
 [0.05 0.01]]",[nan nan],"[[ 0.07 -0.05]
 [-0.13 -0.03]]",[ 0.   -0.01],[nan nan],[ 0. -0.],[nan nan],[0. 0.],[nan nan],0.0,LPE10885_2023_10_20_4_0652
Dataset 05,645,[nan nan],"[[ 0.01 -0.01]
 [-0.02 -0.02]]",[nan nan],"[[0.02 0.02]
 [0.04 0.04]]",[nan nan],"[[ 0.05 -0.05]
 [-0.09 -0.11]]",[-0.03 -0.02],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0653
Dataset 05,646,[nan nan],"[[ 0.   -0.01]
 [ 0.01  0.01]]",[nan nan],"[[0.   0.02]
 [0.02 0.02]]",[nan nan],"[[ 0.01 -0.05]
 [ 0.04  0.05]]",[-0.04  0.02],[nan nan],[-0.01  0.  ],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0656
Dataset 05,647,[nan nan],"[[-0.02 -0.02]
 [-0.    0.02]]",[nan nan],"[[0.03 0.03]
 [0.   0.04]]",[nan nan],"[[-0.08 -0.08]
 [-0.01  0.11]]",[-0.04  0.  ],[nan nan],[-0.01  0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0657
Dataset 05,648,[nan nan],"[[-0.03 -0.01]
 [-0.02  0.  ]]",[nan nan],"[[0.05 0.01]
 [0.04 0.01]]",[nan nan],"[[-0.13 -0.03]
 [-0.1   0.02]]",[-0.05 -0.04],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0658
Dataset 05,649,[nan nan],"[[-0.01  0.  ]
 [ 0.03 -0.01]]",[nan nan],"[[0.02 0.  ]
 [0.06 0.02]]",[nan nan],"[[-0.06  0.01]
 [ 0.14 -0.06]]",[-0.03 -0.02],[nan nan],[-0.01 -0.  ],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0659
Dataset 05,650,[nan nan],"[[ 0.03 -0.  ]
 [-0.01  0.02]]",[nan nan],"[[0.05 0.  ]
 [0.02 0.05]]",[nan nan],"[[ 0.13 -0.  ]
 [-0.04  0.12]]",[-0.04  0.01],[nan nan],[-0.01  0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0660
Dataset 05,651,[nan nan],"[[-0.    0.  ]
 [ 0.02 -0.02]]",[nan nan],"[[0.   0.  ]
 [0.04 0.04]]",[nan nan],"[[-0.    0.  ]
 [ 0.09 -0.11]]",[-0.02  0.01],[nan nan],[-0.  0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0661
Dataset 05,652,[nan nan],"[[ 0.02 -0.  ]
 [-0.02 -0.01]]",[nan nan],"[[0.03 0.01]
 [0.05 0.03]]",[nan nan],"[[ 0.08 -0.02]
 [-0.12 -0.07]]",[-0.03 -0.03],[nan nan],[-0.01 -0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0662
Dataset 05,653,[nan nan],"[[0.01 0.03]
 [0.   0.02]]",[nan nan],"[[0.01 0.05]
 [0.01 0.03]]",[nan nan],"[[0.03 0.13]
 [0.02 0.08]]",[0.02 0.01],[nan nan],[0. 0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0663
Dataset 05,654,[nan nan],"[[-0.01 -0.01]
 [ 0.03  0.01]]",[nan nan],"[[0.02 0.01]
 [0.06 0.03]]",[nan nan],"[[-0.05 -0.03]
 [ 0.14  0.07]]",[ 0.05 -0.03],[nan nan],[ 0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0666
Dataset 05,655,[nan nan],"[[-0.01 -0.03]
 [ 0.02 -0.03]]",[nan nan],"[[0.02 0.05]
 [0.04 0.06]]",[nan nan],"[[-0.05 -0.13]
 [ 0.11 -0.14]]",[0.01 0.03],[nan nan],[0.   0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0667
